Transaction,Item,date_time,period_day,weekday_weekend,profit
121,Coffee,10/31/2016 11:30,morning,weekday,2.0
121,Bread,10/31/2016 11:30,morning,weekday,2.0
122,Cookies,10/31/2016 11:37,morning,weekday,1.5
123,Jam,10/31/2016 11:42,morning,weekday,1.25
123,Coffee,10/31/2016 11:42,morning,weekday,2.0
123,Coffee,10/31/2016 11:42,morning,weekday,2.0
123,Juice,10/31/2016 11:42,morning,weekday,2.0
124,Coffee,10/31/2016 11:43,morning,weekday,2.0
124,Soup,10/31/2016 11:43,morning,weekday,3.0
125,Tea,10/31/2016 11:47,morning,weekday,2.0
126,Coffee,10/31/2016 11:52,morning,weekday,2.0
126,Jam,10/31/2016 11:52,morning,weekday,1.25
128,Tartine,10/31/2016 11:55,morning,weekday,3.0
128,Coffee,10/31/2016 11:55,morning,weekday,2.0
128,Tea,10/31/2016 11:55,morning,weekday,2.0
129,Coffee,10/31/2016 11:59,morning,weekday,2.0
129,Coffee,10/31/2016 11:59,morning,weekday,2.0
129,Cake,10/31/2016 11:59,morning,weekday,3.0
130,Coffee,10/31/2016 12:03,afternoon,weekday,2.0
130,Coffee,10/31/2016 12:03,afternoon,weekday,2.0
130,Muffin,10/31/2016 12:03,afternoon,weekday,2.0
131,Bread,10/31/2016 12:08,afternoon,weekday,2.0
131,Coffee,10/31/2016 12:08,afternoon,weekday,2.0
132,Tea,10/31/2016 12:14,afternoon,weekday,2.0
132,Juice,10/31/2016 12:14,afternoon,weekday,2.0
132,Cookies,10/31/2016 12:14,afternoon,weekday,1.5
133,Soup,10/31/2016 12:16,afternoon,weekday,3.0
134,Tea,10/31/2016 12:19,afternoon,weekday,2.0
135,Bread,10/31/2016 12:20,afternoon,weekday,2.0
136,Tea,10/31/2016 12:27,afternoon,weekday,2.0
136,Soup,10/31/2016 12:27,afternoon,weekday,3.0
138,Soup,10/31/2016 12:43,afternoon,weekday,3.0
138,Coffee,10/31/2016 12:43,afternoon,weekday,2.0
139,Bread,10/31/2016 12:50,afternoon,weekday,2.0
139,Muffin,10/31/2016 12:50,afternoon,weekday,2.0
140,Coffee,10/31/2016 12:53,afternoon,weekday,2.0
140,Coffee,10/31/2016 12:53,afternoon,weekday,2.0
140,Cookies,10/31/2016 12:53,afternoon,weekday,1.5
141,Bread,10/31/2016 12:54,afternoon,weekday,2.0
142,Tea,10/31/2016 12:56,afternoon,weekday,2.0
142,Muffin,10/31/2016 12:56,afternoon,weekday,2.0
143,Tea,10/31/2016 12:59,afternoon,weekday,2.0
144,Soup,10/31/2016 13:02,afternoon,weekday,3.0
145,Coffee,10/31/2016 13:05,afternoon,weekday,2.0
145,Tea,10/31/2016 13:05,afternoon,weekday,2.0
145,Focaccia,10/31/2016 13:05,afternoon,weekday,2.5
146,Sandwich,10/31/2016 13:08,afternoon,weekday,3.5
147,Tartine,10/31/2016 13:09,afternoon,weekday,3.0
147,Coffee,10/31/2016 13:09,afternoon,weekday,2.0
148,Fudge,10/31/2016 13:21,afternoon,weekday,2.0
148,Coffee,10/31/2016 13:21,afternoon,weekday,2.0
148,Coffee,10/31/2016 13:21,afternoon,weekday,2.0
149,Coffee,10/31/2016 13:26,afternoon,weekday,2.0
150,Bread,10/31/2016 13:31,afternoon,weekday,2.0
151,Coke,10/31/2016 13:50,afternoon,weekday,1.0
151,Soup,10/31/2016 13:50,afternoon,weekday,3.0
152,Muffin,10/31/2016 13:51,afternoon,weekday,2.0
153,Tea,10/31/2016 13:55,afternoon,weekday,2.0
153,Coffee,10/31/2016 13:55,afternoon,weekday,2.0
153,Cookies,10/31/2016 13:55,afternoon,weekday,1.5
153,Muffin,10/31/2016 13:55,afternoon,weekday,2.0
154,Mighty Protein,10/31/2016 14:00,afternoon,weekday,2.0
154,Coffee,10/31/2016 14:00,afternoon,weekday,2.0
154,Coke,10/31/2016 14:00,afternoon,weekday,1.0
155,Tea,10/31/2016 14:01,afternoon,weekday,2.0
155,Muffin,10/31/2016 14:01,afternoon,weekday,2.0
155,Sandwich,10/31/2016 14:01,afternoon,weekday,3.5
156,Coffee,10/31/2016 14:04,afternoon,weekday,2.0
156,Muffin,10/31/2016 14:04,afternoon,weekday,2.0
157,Coffee,10/31/2016 14:05,afternoon,weekday,2.0
157,Bread,10/31/2016 14:05,afternoon,weekday,2.0
158,Coffee,10/31/2016 14:20,afternoon,weekday,2.0
158,Muffin,10/31/2016 14:20,afternoon,weekday,2.0
159,Bread,10/31/2016 14:22,afternoon,weekday,2.0
159,Hot chocolate,10/31/2016 14:22,afternoon,weekday,2.5
159,Cookies,10/31/2016 14:22,afternoon,weekday,1.5
160,Mineral water,10/31/2016 14:35,afternoon,weekday,1.5
160,Muffin,10/31/2016 14:35,afternoon,weekday,2.0
161,Tea,10/31/2016 14:42,afternoon,weekday,2.0
162,Muffin,10/31/2016 14:44,afternoon,weekday,2.0
163,Coffee,10/31/2016 14:47,afternoon,weekday,2.0
163,Juice,10/31/2016 14:47,afternoon,weekday,2.0
164,Coffee,10/31/2016 14:47,afternoon,weekday,2.0
164,Muffin,10/31/2016 14:47,afternoon,weekday,2.0
165,Tea,10/31/2016 14:48,afternoon,weekday,2.0
166,Coffee,10/31/2016 14:49,afternoon,weekday,2.0
166,Muffin,10/31/2016 14:49,afternoon,weekday,2.0
167,Sandwich,10/31/2016 14:50,afternoon,weekday,3.5
167,Bread,10/31/2016 14:50,afternoon,weekday,2.0
167,Mineral water,10/31/2016 14:50,afternoon,weekday,1.5
168,Tea,10/31/2016 14:56,afternoon,weekday,2.0
168,Coffee,10/31/2016 14:56,afternoon,weekday,2.0
169,Mineral water,10/31/2016 15:05,afternoon,weekday,1.5
170,Coffee,10/31/2016 15:16,afternoon,weekday,2.0
171,Soup,10/31/2016 15:20,afternoon,weekday,3.0
171,Tea,10/31/2016 15:20,afternoon,weekday,2.0
172,Bread,10/31/2016 17:06,evening,weekday,2.0
172,Coffee,10/31/2016 17:06,evening,weekday,2.0
173,Bread,10/31/2016 17:08,evening,weekday,2.0
173,Muffin,10/31/2016 17:08,evening,weekday,2.0
174,Coffee,10/31/2016 17:40,evening,weekday,2.0
175,Bread,10/31/2016 17:49,evening,weekday,2.0
176,Cookies,10/31/2016 18:22,evening,weekday,1.5
176,Coffee,10/31/2016 18:22,evening,weekday,2.0
178,Coffee,11/1/2016 7:51,morning,weekday,2.0
178,Pastry,11/1/2016 7:51,morning,weekday,2.5
179,Coffee,11/1/2016 8:20,morning,weekday,2.0
179,Pastry,11/1/2016 8:20,morning,weekday,2.5
180,Jam,11/1/2016 8:22,morning,weekday,1.25
180,Tea,11/1/2016 8:22,morning,weekday,2.0
181,Tea,11/1/2016 8:45,morning,weekday,2.0
181,Tea,11/1/2016 8:45,morning,weekday,2.0
182,Pastry,11/1/2016 9:07,morning,weekday,2.5
182,Pastry,11/1/2016 9:07,morning,weekday,2.5
183,Pastry,11/1/2016 9:09,morning,weekday,2.5
184,Tea,11/1/2016 9:26,morning,weekday,2.0
185,Tea,11/1/2016 9:29,morning,weekday,2.0
185,Victorian Sponge,11/1/2016 9:29,morning,weekday,3.0
186,Tea,11/1/2016 9:43,morning,weekday,2.0
186,Pastry,11/1/2016 9:43,morning,weekday,2.5
187,Bread,11/1/2016 10:02,morning,weekday,2.0
188,Coffee,11/1/2016 10:04,morning,weekday,2.0
189,Bread,11/1/2016 10:29,morning,weekday,2.0
189,Coffee,11/1/2016 10:29,morning,weekday,2.0
190,Coffee,11/1/2016 10:34,morning,weekday,2.0
190,Pastry,11/1/2016 10:34,morning,weekday,2.5
190,Pastry,11/1/2016 10:34,morning,weekday,2.5
191,Soup,11/1/2016 10:50,morning,weekday,3.0
191,Tea,11/1/2016 10:50,morning,weekday,2.0
192,Bread,11/1/2016 10:56,morning,weekday,2.0
193,Coffee,11/1/2016 11:00,morning,weekday,2.0
194,Bread,11/1/2016 11:04,morning,weekday,2.0
194,Bread,11/1/2016 11:04,morning,weekday,2.0
195,Bread,11/1/2016 11:06,morning,weekday,2.0
195,Scandinavian,11/1/2016 11:06,morning,weekday,2.5
196,Bread,11/1/2016 11:08,morning,weekday,2.0
196,Cake,11/1/2016 11:08,morning,weekday,3.0
196,Cookies,11/1/2016 11:08,morning,weekday,1.5
197,Coffee,11/1/2016 11:10,morning,weekday,2.0
197,Coffee,11/1/2016 11:10,morning,weekday,2.0
197,Tea,11/1/2016 11:10,morning,weekday,2.0
198,Coffee,11/1/2016 11:11,morning,weekday,2.0
198,Cookies,11/1/2016 11:11,morning,weekday,1.5
199,Coffee,11/1/2016 11:13,morning,weekday,2.0
200,Bread,11/1/2016 11:16,morning,weekday,2.0
201,Coffee,11/1/2016 11:22,morning,weekday,2.0
201,Pastry,11/1/2016 11:22,morning,weekday,2.5
202,Coffee,11/1/2016 11:23,morning,weekday,2.0
202,Coffee,11/1/2016 11:23,morning,weekday,2.0
203,Coffee,11/1/2016 11:25,morning,weekday,2.0
204,Scandinavian,11/1/2016 11:30,morning,weekday,2.5
204,Bread,11/1/2016 11:30,morning,weekday,2.0
205,Coffee,11/1/2016 11:49,morning,weekday,2.0
205,Coffee,11/1/2016 11:49,morning,weekday,2.0
205,Pastry,11/1/2016 11:49,morning,weekday,2.5
206,Scandinavian,11/1/2016 11:54,morning,weekday,2.5
206,Coffee,11/1/2016 11:54,morning,weekday,2.0
206,Pastry,11/1/2016 11:54,morning,weekday,2.5
207,Coffee,11/1/2016 12:03,afternoon,weekday,2.0
207,Muffin,11/1/2016 12:03,afternoon,weekday,2.0
208,Bread,11/1/2016 12:10,afternoon,weekday,2.0
209,Coffee,11/1/2016 12:10,afternoon,weekday,2.0
210,Scandinavian,11/1/2016 12:12,afternoon,weekday,2.5
211,Soup,11/1/2016 12:15,afternoon,weekday,3.0
211,Coffee,11/1/2016 12:15,afternoon,weekday,2.0
212,Coffee,11/1/2016 12:20,afternoon,weekday,2.0
212,Cookies,11/1/2016 12:20,afternoon,weekday,1.5
212,Tartine,11/1/2016 12:20,afternoon,weekday,3.0
213,Bread,11/1/2016 12:22,afternoon,weekday,2.0
214,Bread,11/1/2016 12:26,afternoon,weekday,2.0
214,Tea,11/1/2016 12:26,afternoon,weekday,2.0
214,Tea,11/1/2016 12:26,afternoon,weekday,2.0
215,Pastry,11/1/2016 12:30,afternoon,weekday,2.5
215,Coffee,11/1/2016 12:30,afternoon,weekday,2.0
216,Tartine,11/1/2016 12:31,afternoon,weekday,3.0
216,Coffee,11/1/2016 12:31,afternoon,weekday,2.0
217,Bread,11/1/2016 12:33,afternoon,weekday,2.0
217,Cookies,11/1/2016 12:33,afternoon,weekday,1.5
218,Sandwich,11/1/2016 12:37,afternoon,weekday,3.5
219,Tartine,11/1/2016 12:41,afternoon,weekday,3.0
220,Bread,11/1/2016 12:49,afternoon,weekday,2.0
220,Pastry,11/1/2016 12:49,afternoon,weekday,2.5
221,Bread,11/1/2016 12:53,afternoon,weekday,2.0
221,Scandinavian,11/1/2016 12:53,afternoon,weekday,2.5
222,Scandinavian,11/1/2016 13:08,afternoon,weekday,2.5
223,Alfajores,11/1/2016 13:11,afternoon,weekday,1.5
223,Coffee,11/1/2016 13:11,afternoon,weekday,2.0
224,Coffee,11/1/2016 13:15,afternoon,weekday,2.0
225,Coffee,11/1/2016 13:19,afternoon,weekday,2.0
225,Coke,11/1/2016 13:19,afternoon,weekday,1.0
225,Soup,11/1/2016 13:19,afternoon,weekday,3.0
226,Cake,11/1/2016 13:21,afternoon,weekday,3.0
227,Tea,11/1/2016 13:31,afternoon,weekday,2.0
227,Sandwich,11/1/2016 13:31,afternoon,weekday,3.5
227,Soup,11/1/2016 13:31,afternoon,weekday,3.0
228,Coffee,11/1/2016 13:33,afternoon,weekday,2.0
229,Bread,11/1/2016 13:37,afternoon,weekday,2.0
230,Alfajores,11/1/2016 13:41,afternoon,weekday,1.5
231,Cake,11/1/2016 13:45,afternoon,weekday,3.0
232,Tea,11/1/2016 14:10,afternoon,weekday,2.0
232,Tea,11/1/2016 14:10,afternoon,weekday,2.0
232,Bread,11/1/2016 14:10,afternoon,weekday,2.0
233,Coffee,11/1/2016 14:13,afternoon,weekday,2.0
233,Tea,11/1/2016 14:13,afternoon,weekday,2.0
233,Bread,11/1/2016 14:13,afternoon,weekday,2.0
233,Soup,11/1/2016 14:13,afternoon,weekday,3.0
234,Coffee,11/1/2016 14:14,afternoon,weekday,2.0
234,Coffee,11/1/2016 14:14,afternoon,weekday,2.0
235,Scandinavian,11/1/2016 14:18,afternoon,weekday,2.5
236,Fudge,11/1/2016 14:22,afternoon,weekday,2.0
237,Coffee,11/1/2016 14:25,afternoon,weekday,2.0
237,Sandwich,11/1/2016 14:25,afternoon,weekday,3.5
238,Tea,11/1/2016 14:37,afternoon,weekday,2.0
238,Bread,11/1/2016 14:37,afternoon,weekday,2.0
238,Cookies,11/1/2016 14:37,afternoon,weekday,1.5
238,Pastry,11/1/2016 14:37,afternoon,weekday,2.5
239,Muffin,11/1/2016 14:37,afternoon,weekday,2.0
240,Scandinavian,11/1/2016 14:42,afternoon,weekday,2.5
241,Jam,11/1/2016 14:54,afternoon,weekday,1.25
241,Tea,11/1/2016 14:54,afternoon,weekday,2.0
242,Juice,11/1/2016 15:02,afternoon,weekday,2.0
242,Tea,11/1/2016 15:02,afternoon,weekday,2.0
242,Alfajores,11/1/2016 15:02,afternoon,weekday,1.5
243,Cake,11/1/2016 15:18,afternoon,weekday,3.0
243,Muffin,11/1/2016 15:18,afternoon,weekday,2.0
243,Coffee,11/1/2016 15:18,afternoon,weekday,2.0
243,Soup,11/1/2016 15:18,afternoon,weekday,3.0
244,Hot chocolate,11/1/2016 15:33,afternoon,weekday,2.5
244,Cake,11/1/2016 15:33,afternoon,weekday,3.0
244,Coffee,11/1/2016 15:33,afternoon,weekday,2.0
