Transaction,Item,date_time,period_day,weekday_weekend,profit,Profit
40,Coffee,10/30/2016 11:55,morning,weekend,2.0,2.81
42,Bread,10/30/2016 11:57,morning,weekend,2.0,2.24
42,Tea,10/30/2016 11:57,morning,weekend,2.0,2.83
43,Fudge,10/30/2016 12:00,afternoon,weekend,2.0,1.39
44,Coffee,10/30/2016 12:05,afternoon,weekend,2.0,2.81
44,Medialuna,10/30/2016 12:05,afternoon,weekend,1.5,1.15
45,Coffee,10/30/2016 12:08,afternoon,weekend,2.0,2.81
45,Hot chocolate,10/30/2016 12:08,afternoon,weekend,2.5,2.69
45,Medialuna,10/30/2016 12:08,afternoon,weekend,1.5,1.15
46,Coffee,10/30/2016 12:09,afternoon,weekend,2.0,2.81
47,Juice,10/30/2016 12:15,afternoon,weekend,2.0,1.07
47,Bread,10/30/2016 12:15,afternoon,weekend,2.0,2.24
48,Coffee,10/30/2016 12:17,afternoon,weekend,2.0,2.81
49,Coffee,10/30/2016 12:23,afternoon,weekend,2.0,2.81
49,Coffee,10/30/2016 12:23,afternoon,weekend,2.0,2.81
49,Medialuna,10/30/2016 12:23,afternoon,weekend,1.5,1.15
50,Bread,10/30/2016 12:25,afternoon,weekend,2.0,2.24
51,Bread,10/30/2016 12:26,afternoon,weekend,2.0,2.24
54,Bread,10/30/2016 12:33,afternoon,weekend,2.0,2.24
55,Coffee,10/30/2016 12:38,afternoon,weekend,2.0,2.81
55,Tea,10/30/2016 12:38,afternoon,weekend,2.0,2.83
56,Coffee,10/30/2016 12:39,afternoon,weekend,2.0,2.81
58,Hot chocolate,10/30/2016 12:59,afternoon,weekend,2.5,2.69
58,Tea,10/30/2016 12:59,afternoon,weekend,2.0,2.83
58,Soup,10/30/2016 12:59,afternoon,weekend,3.0,2.16
59,Tea,10/30/2016 13:02,afternoon,weekend,2.0,2.83
60,Coffee,10/30/2016 13:14,afternoon,weekend,2.0,2.81
60,Juice,10/30/2016 13:14,afternoon,weekend,2.0,1.07
60,Coffee,10/30/2016 13:14,afternoon,weekend,2.0,2.81
61,Coffee,10/30/2016 13:15,afternoon,weekend,2.0,2.81
62,Coffee,10/30/2016 13:24,afternoon,weekend,2.0,2.81
62,Smoothies,10/30/2016 13:24,afternoon,weekend,2.5,1.15
62,Coffee,10/30/2016 13:24,afternoon,weekend,2.0,2.81
63,Coffee,10/30/2016 13:33,afternoon,weekend,2.0,2.81
64,Cake,10/30/2016 13:34,afternoon,weekend,3.0,1.92
65,Tea,10/30/2016 13:37,afternoon,weekend,2.0,2.83
65,Coffee,10/30/2016 13:37,afternoon,weekend,2.0,2.81
68,Coffee,10/30/2016 13:49,afternoon,weekend,2.0,2.81
68,Tea,10/30/2016 13:49,afternoon,weekend,2.0,2.83
69,Bread,10/30/2016 13:51,afternoon,weekend,2.0,2.24
69,Tea,10/30/2016 13:51,afternoon,weekend,2.0,2.83
70,Fudge,10/30/2016 13:54,afternoon,weekend,2.0,1.39
72,Coffee,10/30/2016 14:21,afternoon,weekend,2.0,2.81
72,Bread,10/30/2016 14:21,afternoon,weekend,2.0,2.24
73,Bread,10/30/2016 14:22,afternoon,weekend,2.0,2.24
74,Coffee,10/30/2016 14:24,afternoon,weekend,2.0,2.81
74,Bread,10/30/2016 14:24,afternoon,weekend,2.0,2.24
76,Coffee,10/30/2016 14:32,afternoon,weekend,2.0,2.81
78,Fudge,10/30/2016 14:42,afternoon,weekend,2.0,1.39
79,Fudge,10/30/2016 14:45,afternoon,weekend,2.0,1.39
79,Tea,10/30/2016 14:45,afternoon,weekend,2.0,2.83
79,Coffee,10/30/2016 14:45,afternoon,weekend,2.0,2.81
80,Bread,10/30/2016 14:48,afternoon,weekend,2.0,2.24
80,Coffee,10/30/2016 14:48,afternoon,weekend,2.0,2.81
81,Coffee,10/31/2016 8:28,morning,weekday,2.0,2.81
81,Cake,10/31/2016 8:28,morning,weekday,3.0,1.92
82,Bread,10/31/2016 8:47,morning,weekday,2.0,2.24
83,Coffee,10/31/2016 8:57,morning,weekday,2.0,2.81
83,Bread,10/31/2016 8:57,morning,weekday,2.0,2.24
84,Bread,10/31/2016 9:04,morning,weekday,2.0,2.24
85,Coffee,10/31/2016 9:10,morning,weekday,2.0,2.81
85,Coffee,10/31/2016 9:10,morning,weekday,2.0,2.81
85,Pastry,10/31/2016 9:10,morning,weekday,2.5,1.83
85,Medialuna,10/31/2016 9:10,morning,weekday,1.5,1.15
86,Juice,10/31/2016 9:11,morning,weekday,2.0,1.07
87,Bread,10/31/2016 9:12,morning,weekday,2.0,2.24
88,Coffee,10/31/2016 9:16,morning,weekday,2.0,2.81
88,Coffee,10/31/2016 9:16,morning,weekday,2.0,2.81
89,Bread,10/31/2016 9:19,morning,weekday,2.0,2.24
90,Bread,10/31/2016 9:20,morning,weekday,2.0,2.24
90,Coffee,10/31/2016 9:20,morning,weekday,2.0,2.81
91,Tea,10/31/2016 9:22,morning,weekday,2.0,2.83
92,Coffee,10/31/2016 9:27,morning,weekday,2.0,2.81
93,Bread,10/31/2016 9:29,morning,weekday,2.0,2.24
94,Coffee,10/31/2016 9:39,morning,weekday,2.0,2.81
94,Coffee,10/31/2016 9:39,morning,weekday,2.0,2.81
95,Tea,10/31/2016 9:43,morning,weekday,2.0,2.83
95,Pastry,10/31/2016 9:43,morning,weekday,2.5,1.83
96,Pastry,10/31/2016 9:46,morning,weekday,2.5,1.83
96,Pastry,10/31/2016 9:46,morning,weekday,2.5,1.83
96,Coffee,10/31/2016 9:46,morning,weekday,2.0,2.81
96,Juice,10/31/2016 9:46,morning,weekday,2.0,1.07
97,Coffee,10/31/2016 9:51,morning,weekday,2.0,2.81
97,Pastry,10/31/2016 9:51,morning,weekday,2.5,1.83
97,Juice,10/31/2016 9:51,morning,weekday,2.0,1.07
99,Pastry,10/31/2016 9:56,morning,weekday,2.5,1.83
99,Pastry,10/31/2016 9:56,morning,weekday,2.5,1.83
99,Coffee,10/31/2016 9:56,morning,weekday,2.0,2.81
99,Bread,10/31/2016 9:56,morning,weekday,2.0,2.24
100,Bread,10/31/2016 9:58,morning,weekday,2.0,2.24
101,Coffee,10/31/2016 10:04,morning,weekday,2.0,2.81
101,Pastry,10/31/2016 10:04,morning,weekday,2.5,1.83
103,Bread,10/31/2016 10:07,morning,weekday,2.0,2.24
104,Coffee,10/31/2016 10:12,morning,weekday,2.0,2.81
104,Coffee,10/31/2016 10:12,morning,weekday,2.0,2.81
104,Medialuna,10/31/2016 10:12,morning,weekday,1.5,1.15
104,Coffee,10/31/2016 10:12,morning,weekday,2.0,2.81
105,Coffee,10/31/2016 10:21,morning,weekday,2.0,2.81
105,Tea,10/31/2016 10:21,morning,weekday,2.0,2.83
105,Cake,10/31/2016 10:21,morning,weekday,3.0,1.92
106,Coffee,10/31/2016 10:24,morning,weekday,2.0,2.81
106,Coffee,10/31/2016 10:24,morning,weekday,2.0,2.81
106,Pastry,10/31/2016 10:24,morning,weekday,2.5,1.83
106,Pastry,10/31/2016 10:24,morning,weekday,2.5,1.83
107,Coffee,10/31/2016 10:27,morning,weekday,2.0,2.81
107,Tea,10/31/2016 10:27,morning,weekday,2.0,2.83
109,Bread,10/31/2016 10:35,morning,weekday,2.0,2.24
109,Pastry,10/31/2016 10:35,morning,weekday,2.5,1.83
110,Pastry,10/31/2016 10:36,morning,weekday,2.5,1.83
111,Coffee,10/31/2016 10:38,morning,weekday,2.0,2.81
112,Coffee,10/31/2016 10:59,morning,weekday,2.0,2.81
113,Coffee,10/31/2016 11:02,morning,weekday,2.0,2.81
113,Cake,10/31/2016 11:02,morning,weekday,3.0,1.92
115,Bread,10/31/2016 11:08,morning,weekday,2.0,2.24
116,Coffee,10/31/2016 11:11,morning,weekday,2.0,2.81
117,Cake,10/31/2016 11:13,morning,weekday,3.0,1.92
117,Coffee,10/31/2016 11:13,morning,weekday,2.0,2.81
118,Tea,10/31/2016 11:18,morning,weekday,2.0,2.83
118,Pastry,10/31/2016 11:18,morning,weekday,2.5,1.83
119,Coffee,10/31/2016 11:25,morning,weekday,2.0,2.81
119,Coffee,10/31/2016 11:25,morning,weekday,2.0,2.81
121,Coffee,10/31/2016 11:30,morning,weekday,2.0,2.81
121,Bread,10/31/2016 11:30,morning,weekday,2.0,2.24
123,Coffee,10/31/2016 11:42,morning,weekday,2.0,2.81
123,Coffee,10/31/2016 11:42,morning,weekday,2.0,2.81
123,Juice,10/31/2016 11:42,morning,weekday,2.0,1.07
124,Coffee,10/31/2016 11:43,morning,weekday,2.0,2.81
124,Soup,10/31/2016 11:43,morning,weekday,3.0,2.16
125,Tea,10/31/2016 11:47,morning,weekday,2.0,2.83
126,Coffee,10/31/2016 11:52,morning,weekday,2.0,2.81
128,Coffee,10/31/2016 11:55,morning,weekday,2.0,2.81
128,Tea,10/31/2016 11:55,morning,weekday,2.0,2.83
129,Coffee,10/31/2016 11:59,morning,weekday,2.0,2.81
129,Coffee,10/31/2016 11:59,morning,weekday,2.0,2.81
129,Cake,10/31/2016 11:59,morning,weekday,3.0,1.92
130,Coffee,10/31/2016 12:03,afternoon,weekday,2.0,2.81
130,Coffee,10/31/2016 12:03,afternoon,weekday,2.0,2.81
131,Bread,10/31/2016 12:08,afternoon,weekday,2.0,2.24
131,Coffee,10/31/2016 12:08,afternoon,weekday,2.0,2.81
132,Tea,10/31/2016 12:14,afternoon,weekday,2.0,2.83
132,Juice,10/31/2016 12:14,afternoon,weekday,2.0,1.07
133,Soup,10/31/2016 12:16,afternoon,weekday,3.0,2.16
134,Tea,10/31/2016 12:19,afternoon,weekday,2.0,2.83
135,Bread,10/31/2016 12:20,afternoon,weekday,2.0,2.24
136,Tea,10/31/2016 12:27,afternoon,weekday,2.0,2.83
136,Soup,10/31/2016 12:27,afternoon,weekday,3.0,2.16
138,Soup,10/31/2016 12:43,afternoon,weekday,3.0,2.16
138,Coffee,10/31/2016 12:43,afternoon,weekday,2.0,2.81
139,Bread,10/31/2016 12:50,afternoon,weekday,2.0,2.24
140,Coffee,10/31/2016 12:53,afternoon,weekday,2.0,2.81
140,Coffee,10/31/2016 12:53,afternoon,weekday,2.0,2.81
141,Bread,10/31/2016 12:54,afternoon,weekday,2.0,2.24
142,Tea,10/31/2016 12:56,afternoon,weekday,2.0,2.83
143,Tea,10/31/2016 12:59,afternoon,weekday,2.0,2.83
144,Soup,10/31/2016 13:02,afternoon,weekday,3.0,2.16
145,Coffee,10/31/2016 13:05,afternoon,weekday,2.0,2.81
145,Tea,10/31/2016 13:05,afternoon,weekday,2.0,2.83
145,Focaccia,10/31/2016 13:05,afternoon,weekday,2.5,1.72
146,Sandwich,10/31/2016 13:08,afternoon,weekday,3.5,1.28
147,Coffee,10/31/2016 13:09,afternoon,weekday,2.0,2.81
148,Fudge,10/31/2016 13:21,afternoon,weekday,2.0,1.39
148,Coffee,10/31/2016 13:21,afternoon,weekday,2.0,2.81
148,Coffee,10/31/2016 13:21,afternoon,weekday,2.0,2.81
149,Coffee,10/31/2016 13:26,afternoon,weekday,2.0,2.81
150,Bread,10/31/2016 13:31,afternoon,weekday,2.0,2.24
151,Soup,10/31/2016 13:50,afternoon,weekday,3.0,2.16
153,Tea,10/31/2016 13:55,afternoon,weekday,2.0,2.83
153,Coffee,10/31/2016 13:55,afternoon,weekday,2.0,2.81
154,Coffee,10/31/2016 14:00,afternoon,weekday,2.0,2.81
155,Tea,10/31/2016 14:01,afternoon,weekday,2.0,2.83
155,Sandwich,10/31/2016 14:01,afternoon,weekday,3.5,1.28
156,Coffee,10/31/2016 14:04,afternoon,weekday,2.0,2.81
157,Coffee,10/31/2016 14:05,afternoon,weekday,2.0,2.81
157,Bread,10/31/2016 14:05,afternoon,weekday,2.0,2.24
158,Coffee,10/31/2016 14:20,afternoon,weekday,2.0,2.81
159,Bread,10/31/2016 14:22,afternoon,weekday,2.0,2.24
159,Hot chocolate,10/31/2016 14:22,afternoon,weekday,2.5,2.69
161,Tea,10/31/2016 14:42,afternoon,weekday,2.0,2.83
163,Coffee,10/31/2016 14:47,afternoon,weekday,2.0,2.81
163,Juice,10/31/2016 14:47,afternoon,weekday,2.0,1.07
164,Coffee,10/31/2016 14:47,afternoon,weekday,2.0,2.81
165,Tea,10/31/2016 14:48,afternoon,weekday,2.0,2.83
166,Coffee,10/31/2016 14:49,afternoon,weekday,2.0,2.81
167,Sandwich,10/31/2016 14:50,afternoon,weekday,3.5,1.28
167,Bread,10/31/2016 14:50,afternoon,weekday,2.0,2.24
168,Tea,10/31/2016 14:56,afternoon,weekday,2.0,2.83
168,Coffee,10/31/2016 14:56,afternoon,weekday,2.0,2.81
170,Coffee,10/31/2016 15:16,afternoon,weekday,2.0,2.81
171,Soup,10/31/2016 15:20,afternoon,weekday,3.0,2.16
171,Tea,10/31/2016 15:20,afternoon,weekday,2.0,2.83
172,Bread,10/31/2016 17:06,evening,weekday,2.0,2.24
172,Coffee,10/31/2016 17:06,evening,weekday,2.0,2.81
173,Bread,10/31/2016 17:08,evening,weekday,2.0,2.24
174,Coffee,10/31/2016 17:40,evening,weekday,2.0,2.81
175,Bread,10/31/2016 17:49,evening,weekday,2.0,2.24
176,Coffee,10/31/2016 18:22,evening,weekday,2.0,2.81
178,Coffee,11/1/2016 7:51,morning,weekday,2.0,2.81
178,Pastry,11/1/2016 7:51,morning,weekday,2.5,1.83
179,Coffee,11/1/2016 8:20,morning,weekday,2.0,2.81
179,Pastry,11/1/2016 8:20,morning,weekday,2.5,1.83
180,Tea,11/1/2016 8:22,morning,weekday,2.0,2.83
181,Tea,11/1/2016 8:45,morning,weekday,2.0,2.83
181,Tea,11/1/2016 8:45,morning,weekday,2.0,2.83
182,Pastry,11/1/2016 9:07,morning,weekday,2.5,1.83
182,Pastry,11/1/2016 9:07,morning,weekday,2.5,1.83
183,Pastry,11/1/2016 9:09,morning,weekday,2.5,1.83
184,Tea,11/1/2016 9:26,morning,weekday,2.0,2.83
185,Tea,11/1/2016 9:29,morning,weekday,2.0,2.83
186,Tea,11/1/2016 9:43,morning,weekday,2.0,2.83
186,Pastry,11/1/2016 9:43,morning,weekday,2.5,1.83
187,Bread,11/1/2016 10:02,morning,weekday,2.0,2.24
188,Coffee,11/1/2016 10:04,morning,weekday,2.0,2.81
189,Bread,11/1/2016 10:29,morning,weekday,2.0,2.24
189,Coffee,11/1/2016 10:29,morning,weekday,2.0,2.81
190,Coffee,11/1/2016 10:34,morning,weekday,2.0,2.81
190,Pastry,11/1/2016 10:34,morning,weekday,2.5,1.83
190,Pastry,11/1/2016 10:34,morning,weekday,2.5,1.83
191,Soup,11/1/2016 10:50,morning,weekday,3.0,2.16
191,Tea,11/1/2016 10:50,morning,weekday,2.0,2.83
192,Bread,11/1/2016 10:56,morning,weekday,2.0,2.24
193,Coffee,11/1/2016 11:00,morning,weekday,2.0,2.81
194,Bread,11/1/2016 11:04,morning,weekday,2.0,2.24
194,Bread,11/1/2016 11:04,morning,weekday,2.0,2.24
195,Bread,11/1/2016 11:06,morning,weekday,2.0,2.24
196,Bread,11/1/2016 11:08,morning,weekday,2.0,2.24
196,Cake,11/1/2016 11:08,morning,weekday,3.0,1.92
197,Coffee,11/1/2016 11:10,morning,weekday,2.0,2.81
197,Coffee,11/1/2016 11:10,morning,weekday,2.0,2.81
197,Tea,11/1/2016 11:10,morning,weekday,2.0,2.83
198,Coffee,11/1/2016 11:11,morning,weekday,2.0,2.81
199,Coffee,11/1/2016 11:13,morning,weekday,2.0,2.81
200,Bread,11/1/2016 11:16,morning,weekday,2.0,2.24
201,Coffee,11/1/2016 11:22,morning,weekday,2.0,2.81
201,Pastry,11/1/2016 11:22,morning,weekday,2.5,1.83
202,Coffee,11/1/2016 11:23,morning,weekday,2.0,2.81
202,Coffee,11/1/2016 11:23,morning,weekday,2.0,2.81
203,Coffee,11/1/2016 11:25,morning,weekday,2.0,2.81
204,Bread,11/1/2016 11:30,morning,weekday,2.0,2.24
205,Coffee,11/1/2016 11:49,morning,weekday,2.0,2.81
205,Coffee,11/1/2016 11:49,morning,weekday,2.0,2.81
205,Pastry,11/1/2016 11:49,morning,weekday,2.5,1.83
206,Coffee,11/1/2016 11:54,morning,weekday,2.0,2.81
206,Pastry,11/1/2016 11:54,morning,weekday,2.5,1.83
207,Coffee,11/1/2016 12:03,afternoon,weekday,2.0,2.81
208,Bread,11/1/2016 12:10,afternoon,weekday,2.0,2.24
209,Coffee,11/1/2016 12:10,afternoon,weekday,2.0,2.81
211,Soup,11/1/2016 12:15,afternoon,weekday,3.0,2.16
211,Coffee,11/1/2016 12:15,afternoon,weekday,2.0,2.81
212,Coffee,11/1/2016 12:20,afternoon,weekday,2.0,2.81
213,Bread,11/1/2016 12:22,afternoon,weekday,2.0,2.24
214,Bread,11/1/2016 12:26,afternoon,weekday,2.0,2.24
214,Tea,11/1/2016 12:26,afternoon,weekday,2.0,2.83
214,Tea,11/1/2016 12:26,afternoon,weekday,2.0,2.83
215,Pastry,11/1/2016 12:30,afternoon,weekday,2.5,1.83
215,Coffee,11/1/2016 12:30,afternoon,weekday,2.0,2.81
216,Coffee,11/1/2016 12:31,afternoon,weekday,2.0,2.81
217,Bread,11/1/2016 12:33,afternoon,weekday,2.0,2.24
218,Sandwich,11/1/2016 12:37,afternoon,weekday,3.5,1.28
220,Bread,11/1/2016 12:49,afternoon,weekday,2.0,2.24
220,Pastry,11/1/2016 12:49,afternoon,weekday,2.5,1.83
221,Bread,11/1/2016 12:53,afternoon,weekday,2.0,2.24
223,Alfajores,11/1/2016 13:11,afternoon,weekday,1.5,1.33
223,Coffee,11/1/2016 13:11,afternoon,weekday,2.0,2.81
224,Coffee,11/1/2016 13:15,afternoon,weekday,2.0,2.81
225,Coffee,11/1/2016 13:19,afternoon,weekday,2.0,2.81
225,Soup,11/1/2016 13:19,afternoon,weekday,3.0,2.16
226,Cake,11/1/2016 13:21,afternoon,weekday,3.0,1.92
227,Tea,11/1/2016 13:31,afternoon,weekday,2.0,2.83
227,Sandwich,11/1/2016 13:31,afternoon,weekday,3.5,1.28
227,Soup,11/1/2016 13:31,afternoon,weekday,3.0,2.16
228,Coffee,11/1/2016 13:33,afternoon,weekday,2.0,2.81
229,Bread,11/1/2016 13:37,afternoon,weekday,2.0,2.24
230,Alfajores,11/1/2016 13:41,afternoon,weekday,1.5,1.33
231,Cake,11/1/2016 13:45,afternoon,weekday,3.0,1.92
232,Tea,11/1/2016 14:10,afternoon,weekday,2.0,2.83
232,Tea,11/1/2016 14:10,afternoon,weekday,2.0,2.83
232,Bread,11/1/2016 14:10,afternoon,weekday,2.0,2.24
233,Coffee,11/1/2016 14:13,afternoon,weekday,2.0,2.81
233,Tea,11/1/2016 14:13,afternoon,weekday,2.0,2.83
233,Bread,11/1/2016 14:13,afternoon,weekday,2.0,2.24
233,Soup,11/1/2016 14:13,afternoon,weekday,3.0,2.16
234,Coffee,11/1/2016 14:14,afternoon,weekday,2.0,2.81
234,Coffee,11/1/2016 14:14,afternoon,weekday,2.0,2.81
236,Fudge,11/1/2016 14:22,afternoon,weekday,2.0,1.39
237,Coffee,11/1/2016 14:25,afternoon,weekday,2.0,2.81
237,Sandwich,11/1/2016 14:25,afternoon,weekday,3.5,1.28
238,Tea,11/1/2016 14:37,afternoon,weekday,2.0,2.83
238,Bread,11/1/2016 14:37,afternoon,weekday,2.0,2.24
238,Pastry,11/1/2016 14:37,afternoon,weekday,2.5,1.83
241,Tea,11/1/2016 14:54,afternoon,weekday,2.0,2.83
242,Juice,11/1/2016 15:02,afternoon,weekday,2.0,1.07
242,Tea,11/1/2016 15:02,afternoon,weekday,2.0,2.83
242,Alfajores,11/1/2016 15:02,afternoon,weekday,1.5,1.33
243,Cake,11/1/2016 15:18,afternoon,weekday,3.0,1.92
243,Coffee,11/1/2016 15:18,afternoon,weekday,2.0,2.81
243,Soup,11/1/2016 15:18,afternoon,weekday,3.0,2.16
244,Hot chocolate,11/1/2016 15:33,afternoon,weekday,2.5,2.69
244,Cake,11/1/2016 15:33,afternoon,weekday,3.0,1.92
244,Coffee,11/1/2016 15:33,afternoon,weekday,2.0,2.81
245,Cake,11/1/2016 15:37,afternoon,weekday,3.0,1.92
246,Tea,11/1/2016 15:48,afternoon,weekday,2.0,2.83
246,Bread,11/1/2016 15:48,afternoon,weekday,2.0,2.24
247,Alfajores,11/1/2016 16:07,afternoon,weekday,1.5,1.33
247,Coffee,11/1/2016 16:07,afternoon,weekday,2.0,2.81
247,Coffee,11/1/2016 16:07,afternoon,weekday,2.0,2.81
247,Coffee,11/1/2016 16:07,afternoon,weekday,2.0,2.81
247,Juice,11/1/2016 16:07,afternoon,weekday,2.0,1.07
248,Coffee,11/1/2016 16:08,afternoon,weekday,2.0,2.81
248,Tea,11/1/2016 16:08,afternoon,weekday,2.0,2.83
248,Soup,11/1/2016 16:08,afternoon,weekday,3.0,2.16
249,Hot chocolate,11/1/2016 16:10,afternoon,weekday,2.5,2.69
251,Coffee,11/1/2016 16:26,afternoon,weekday,2.0,2.81
251,Medialuna,11/1/2016 16:26,afternoon,weekday,1.5,1.15
252,Bread,11/1/2016 16:28,afternoon,weekday,2.0,2.24
254,Medialuna,11/1/2016 18:43,evening,weekday,1.5,1.15
255,Coffee,11/2/2016 8:02,morning,weekday,2.0,2.81
255,Coffee,11/2/2016 8:02,morning,weekday,2.0,2.81
255,Pastry,11/2/2016 8:02,morning,weekday,2.5,1.83
256,Coffee,11/2/2016 8:05,morning,weekday,2.0,2.81
256,Bread,11/2/2016 8:05,morning,weekday,2.0,2.24
257,Bread,11/2/2016 8:07,morning,weekday,2.0,2.24
257,Coffee,11/2/2016 8:07,morning,weekday,2.0,2.81
257,Pastry,11/2/2016 8:07,morning,weekday,2.5,1.83
258,Coffee,11/2/2016 8:08,morning,weekday,2.0,2.81
258,Pastry,11/2/2016 8:08,morning,weekday,2.5,1.83
259,Pastry,11/2/2016 8:11,morning,weekday,2.5,1.83
260,Coffee,11/2/2016 8:12,morning,weekday,2.0,2.81
261,Coffee,11/2/2016 8:12,morning,weekday,2.0,2.81
262,Coffee,11/2/2016 8:29,morning,weekday,2.0,2.81
262,Hot chocolate,11/2/2016 8:29,morning,weekday,2.5,2.69
262,Pastry,11/2/2016 8:29,morning,weekday,2.5,1.83
264,Coffee,11/2/2016 9:02,morning,weekday,2.0,2.81
265,Tea,11/2/2016 9:03,morning,weekday,2.0,2.83
266,Bread,11/2/2016 9:05,morning,weekday,2.0,2.24
266,Pastry,11/2/2016 9:05,morning,weekday,2.5,1.83
267,Coffee,11/2/2016 9:18,morning,weekday,2.0,2.81
267,Alfajores,11/2/2016 9:18,morning,weekday,1.5,1.33
268,Tea,11/2/2016 9:22,morning,weekday,2.0,2.83
268,Pastry,11/2/2016 9:22,morning,weekday,2.5,1.83
269,Bread,11/2/2016 9:25,morning,weekday,2.0,2.24
270,Coffee,11/2/2016 9:27,morning,weekday,2.0,2.81
271,Coffee,11/2/2016 9:33,morning,weekday,2.0,2.81
271,Tea,11/2/2016 9:33,morning,weekday,2.0,2.83
271,Coffee,11/2/2016 9:33,morning,weekday,2.0,2.81
271,Pastry,11/2/2016 9:33,morning,weekday,2.5,1.83
274,Coffee,11/2/2016 9:52,morning,weekday,2.0,2.81
274,Bread,11/2/2016 9:52,morning,weekday,2.0,2.24
274,Pastry,11/2/2016 9:52,morning,weekday,2.5,1.83
276,Coffee,11/2/2016 9:54,morning,weekday,2.0,2.81
276,Coffee,11/2/2016 9:54,morning,weekday,2.0,2.81
276,Pastry,11/2/2016 9:54,morning,weekday,2.5,1.83
278,Coffee,11/2/2016 10:13,morning,weekday,2.0,2.81
278,Pastry,11/2/2016 10:13,morning,weekday,2.5,1.83
279,Coffee,11/2/2016 10:15,morning,weekday,2.0,2.81
280,Coffee,11/2/2016 10:17,morning,weekday,2.0,2.81
280,Pastry,11/2/2016 10:17,morning,weekday,2.5,1.83
281,Bread,11/2/2016 10:29,morning,weekday,2.0,2.24
281,Bread,11/2/2016 10:29,morning,weekday,2.0,2.24
282,Bread,11/2/2016 10:37,morning,weekday,2.0,2.24
282,Coffee,11/2/2016 10:37,morning,weekday,2.0,2.81
282,Pastry,11/2/2016 10:37,morning,weekday,2.5,1.83
283,Pastry,11/2/2016 10:44,morning,weekday,2.5,1.83
283,Coffee,11/2/2016 10:44,morning,weekday,2.0,2.81
